SHS_year,Town/estate,Elderly,Total
2003,SENGKANG,6398,123726
2003,PUNGGOL,1387,38290
2003,SEMBAWANG,2262,57033
2003,JURONG WEST,11885,210723
2003,TAMPINES,12200,216722
2003,HOUGANG,12300,228722
2003,YISHUN,7660,158096
2003,CHOA CHU KANG,10395,143626
2003,HOUGANG,6229,172388
2003,BUKIT PANJANG,5578,106705
2003,PASIR RIS,6823,107506
2003,BUKIT BATOK,5354,108209
2003,JURONG EAST,6738,79217
2003,SERANGOON,3829,73853
2003,BISHAN,4510,66311
2003,BUKIT TIMAH,1006,8794
2003,BEDOK,16234,188909
2003,BUKIT MERAH,20261,123741
2003,ANG MO KIO,13739,146680
2003,TOA PAYOH,11553,102054
2003,KALLANG/WHAMPOA,13865,94059
2003,QUEENSTOWN,12634,75427
2003,GEYLANG,8179,93545
2003,CLEMENTI,7656,71047
2003,CENTRAL AREA,5352,27622
2003,MARINE PARADE,3542,21681
2008,SENGKANG,9114,154478
2008,PUNGGOL,2715,57767
2008,SEMBAWANG,3409,63125
2008,JURONG WEST,13567,225274
2008,TAMPINES,17936,233920
2008,HOUGANG,16186,227042
2008,YISHUN,9840,161311
2008,CHOA CHU KANG,10813,149978
2008,HOUGANG,7199,168601
2008,BUKIT PANJANG,7362,106661
2008,PASIR RIS,6613,105737
2008,BUKIT BATOK,7720,99491
2008,JURONG EAST,7826,76440
2008,SERANGOON,5381,71149
2008,BISHAN,4547,64060
2008,BUKIT TIMAH,1168,8402
2008,BEDOK,23646,183302
2008,BUKIT MERAH,25624,136297
2008,ANG MO KIO,21935,144313
2008,TOA PAYOH,17401,101107
2008,KALLANG/WHAMPOA,18098,97211
2008,QUEENSTOWN,14189,78826
2008,GEYLANG,12713,90808
2008,CLEMENTI,10413,68508
2008,CENTRAL AREA,5178,28607
2008,MARINE PARADE,4869,20809
2013,SENGKANG,8802,172748
2013,PUNGGOL,4517,94829
2013,SEMBAWANG,2842,68055
2013,JURONG WEST,13670,229827
2013,TAMPINES,24202,242395
2013,HOUGANG,17068,237281
2013,YISHUN,13756,169351
2013,CHOA CHU KANG,18468,154915
2013,HOUGANG,8116,165247
2013,BUKIT PANJANG,10232,115993
2013,PASIR RIS,11008,108328
2013,BUKIT BATOK,9023,108197
2013,JURONG EAST,7305,75371
2013,SERANGOON,8936,72280
2013,BISHAN,7502,62456
2013,BUKIT TIMAH,1301,7830
2013,BEDOK,21499,187313
2013,BUKIT MERAH,25134,144714
2013,ANG MO KIO,24314,144329
2013,TOA PAYOH,24318,102544
2013,KALLANG/WHAMPOA,18633,103767
2013,QUEENSTOWN,15316,80633
2013,GEYLANG,15015,87967
2013,CLEMENTI,12727,65397
2013,CENTRAL AREA,6817,33396
2013,MARINE PARADE,4570,22501
2018,SENGKANG,21200,208400
2018,PUNGGOL,8400,140600
2018,SEMBAWANG,5500,76700
2018,JURONG WEST,33400,227600
2018,TAMPINES,31000,226500
2018,HOUGANG,27000,222300
2018,YISHUN,24800,185200
2018,CHOA CHU KANG,24000,167200
2018,HOUGANG,18500,163700
2018,BUKIT PANJANG,18400,114800
2018,PASIR RIS,17000,110400
2018,BUKIT BATOK,14900,107200
2018,JURONG EAST,13000,68400
2018,SERANGOON,11000,61900
2018,BISHAN,10400,55600
2018,BUKIT TIMAH,1700,7600
2018,BEDOK,38200,174900
2018,BUKIT MERAH,34700,134700
2018,ANG MO KIO,31000,126300
2018,TOA PAYOH,25300,95000
2018,KALLANG/WHAMPOA,24100,93800
2018,QUEENSTOWN,19300,76000
2018,GEYLANG,18500,75400
2018,CLEMENTI,17000,70200
2018,CENTRAL AREA,8000,30300
2018,MARINE PARADE,6400,18700
